Date; Amount ;Category;Subcategory;Description
13.07.2014; -6.5 ;Лекарства;Аптека;
13.07.2014;-780,00р. ;Еда;Магазин;
14.07.2014;-35,00р. ;Еда;Перекус;
14.07.2014;-282,00р. ;Еда;Обед;
14.07.2014;-1 806,00р. ;Вещи;Техника;ибей
14.07.2014; -288.5 ;Еда;Магазин;
15.07.2014;-214,00р. ;Еда;Обед;
15.07.2014;-61,00р. ;Еда;Перекус;
15.07.2014; 40 000,00р. ;Income;Зарплата;
15.07.2014;-165,00р. ;Еда;Магазин;
15.07.2014;-2 650,00р. ;Ребёнок;Вещи;
15.07.2014;-300,00р. ;Сотовый;Другой;
16.07.2014;-500,00р. ;Сотовый;Мой;
16.07.2014;-160,00р. ;Проезд;Городской;
16.07.2014;-265,00р. ;Еда;Обед;
16.07.2014;-63,00р. ;Еда;Перекус;
17.07.2014;-50,00р. ;Проезд;Городской;
17.07.2014;-275,00р. ;Еда;Обед;
17.07.2014;-21 800,00р. ;Авто;Ремонт;
17.07.2014;-1 000,00р. ;Авто;Бензин;
17.07.2014;-142,00р. ;Лекарства;Аптека;
17.07.2014;-1 238,00р. ;Еда;Магазин;
17.07.2014;-600,00р. ;Сотовый;Другой;
18.07.2014;-30,00р. ;Еда;Перекус;
18.07.2014;-331,00р. ;Еда;Обед;
19.07.2014;-847,00р. ;Еда;Магазин;
20.07.2014;-600,00р. ;Прочее;Прочее;инет
20.07.2014; -1234.50 ;Еда;Магазин;
20.07.2014;-3 200,00р. ;Прочее;Прочее;билеты в мордовию
21.07.2014;-331,00р. ;Еда;Обед;
21.07.2014;-1 906,00р. ;Ребёнок;Вещи;
21.07.2014;-670,00р. ;Еда;Магазин;
22.07.2014;-30,00р. ;Еда;Перекус;
22.07.2014;-236,00р. ;Еда;Обед;
22.07.2014;-709,00р. ;Еда;Магазин;
23.07.2014;-1 000,00р. ;Авто;Бензин;
23.07.2014;-261,00р. ;Еда;Обед;
23.07.2014;-806,00р. ;Еда;Магазин;
24.07.2014;-335,00р. ;Еда;Обед;
24.07.2014;-165,00р. ;Еда;Магазин;
24.07.2014;-746,00р. ;Вещи;Техника;chip&dip
25.07.2014;-315,00р. ;Еда;Обед;
25.07.2014;-860,00р. ;Вещи;Техника;chip&dip
25.07.2014;-2 600,00р. ;Еда;Магазин;
25.07.2014;-250,00р. ;Лекарства;Аптека;
25.07.2014;-650,00р. ;Ребёнок;Вещи;
27.07.2014;-2 400,00р. ;Ребёнок;Вещи;
27.07.2014;-100,00р. ;Авто;Парковка;
28.07.2014;-500,00р. ;Квартплата;Другое;интернет
28.07.2014;-30,00р. ;Еда;Перекус;
28.07.2014;-296,00р. ;Еда;Обед;
28.07.2014;-1 000,00р. ;Авто;Бензин;
29.07.2014;-300,00р. ;Сотовый;Другой;
29.07.2014;-324,00р. ;Еда;Обед;
29.07.2014;-343,00р. ;Еда;Магазин;
29.07.2014; -293.5 ;Еда;Магазин;
29.07.2014;-3 000,00р. ;Еда;Магазин;
